CAPS categ.,Risk Group,Scientific name,Common Name,Model,Predicted pest impact in US,Prob pest will cause high impacts,Prob pest will cause mod impacts,Prob pest will cause low impacts,Primary host(s),"Other important hosts (alternate, secondary, etc)",States at risk,Non-plant impacts?,Date completed
,I,Tospovirus Tomato yellow ring virus,TYRV,Pathogen,Low,0.7%,10.1%,89.2%,"tomato, pepper, potato, soybean, others",,All states,No,11/3/2017
,I,Trypodendron domesticum,European hardwood ambrosia beetle,Arthropod,Low,0.4%,2.8%,96.8%,Secondary pest on hardwood trees,,All continental states including Alaska,No,4/1/2020
,I,Venturia asperata,Apple scab,Pathogen,Low,0.0%,0.5%,99.5%,apple,,Most states,No,9/23/2019
,I,Xylotrechus antilope,None,Arthropod,Low,0.1%,0.5%,99.4%,Oak,,Most states with the exception of the southern portion of Florida and small areas of the north,No,5/8/2020
,I,Xylotrechus rusticus,Gray Tiger Longicorn Beetle,Arthropod,Low,1.0%,5.0%,94.0%,poplar,,All states,No,5/8/2020
,I,Yponomeuta padellus,Cherry Ermine Moth,Arthropod,Low,2.9%,18.8%,78.3%,"serviceberry, hawthorne (Rosaceae)",,"Washington, Oregon, California, Colorado, Utah, Kansas, Missouri, Tennessee, Kentycky, North Carolina, South Carolina, Virginia, Maryland, Pennsylvania",No,11/20/2017
,Undetermined-- Can not be evaluated through OPEP; Pest is not a pest in its native range and has not been introduced outside of native range; or pest has not been introduced outside its native range and closely related species are high impact pests,,,,,,,,,,,,
,J,Alternaria jacinthicola ,,Pathogen,Undetermined,Recently described and lack of confidence in results.,,,,,,No,5/8/2024
,J,Andean potato latent virus,APLV,Pathogen,Undetermined,"Since APLV is not a pest in its native range and has not yet escaped its native range, it is not a good candidate for the OPEP assessment and its potential impact is undetermined.",,,potato,,"Idaho, eastern Washington, Wisconsin, North Dakota",No,11/15/2017
,J,Badnavirus etainflatheobromae ,Cacao swollen shoot virus,Pathogen,Undetermined,Impacts cannot be separated from complex of disease causing viruses.,,,,,,No,5/8/2024
,J,Brachyplatys vahlii,None,Arthropod,Undetermined,Brachyplatys vahlii is native to the Indomalayan region and does not appear to have been introduced outside its native range.,,,cocoa; kudzu,,"No endangered area for cocoa; for kudzu, hardiness zones 9-13",No,11/15/2017
,J,Callidiellum villosulum,Brown fir longhorned beetle,Arthropod,Undetermined,"Because it hasn’t been introduced outside its native range, an OPEP assessment is not appropriate, and the predicted impact category is Undetermined.",,,cypress,,,No,9/23/2019
,J,Cercospora apiicola ,,Pathogen,Undetermined,Lack of information.,,,,,,No,5/8/2024
,J,Chilecomadia valdiviana,Carpenter worm,Arthropod,Undetermined,"Because it hasn’t been introduced outside its native range, an OPEP assessment is not appropriate, and the predicted impact category is Undetermined.",,,polyphagous; most damaging on Eucalyptus spp.,"Polyphagous on hardwoods and fruit trees. In Chile and Argentina, the pest occurs on Salix spp., Salix humboldtiana (=S. chilensis), Ulmus glabra, Nothofagus dombeyi, N. antarctica, N. pumilio, N. alpina, Weinmannia trichosperma, Alnus glutinosa, Trevoa trinervis and Maytenus boaria. Acacia, cherry, olives, apple, quince, loquat and avocado are also reported to be attacked","Most states (except extreme north) are at risk, but greatest risk is southern and coastal states, particularly California and Florida, where eucalyptus species are grown",No,4/14/2015
,J,Citrus leprosis virus C ,CiLV-C,Pathogen,Undetermined,Disqualified assessment due to its status in a complex of viruses. ,,,,,,No,2/16/2024
,J,Colletotrichum jiangxiense,,Pathogen,Undetermined,Recently described and impacts cannot be differentiated from other disease causing pathogens.,,,,,,No,5/8/2024
,J,Cyclocephala lunulata,,Arthropod,Undetermined,"Present in the US, and little indication this species causes significant damage anywhere.",,,,,,No,7/31/2024
,J,Diaporthe tulliensis,,Pathogen,Undetermined,"Recently described species with not enough information to assess. More recent information indicates this species may be more impactful, so should be monitored.",,,,,,No,2/16/2024
,J,Enarmonia formosana,Cherry bark tortrix,Arthropod,Undetermined,Enarmonia formosana is present in Oregon and Washington in the US.,,,"Prunus species (apricot, plum, peach, almond)",,N/A,No,1/13/2020
,J,Fusarium kyushuense,None,Pathogen,Undetermined,"Even though F. kyushuense may pose a minimal risk to plant health, the pathogen may constitute a serious risk for human and animal health. The goal of the Objective Pest Categorization model is to assess the impacts of pests to plant health and therefore does not account for human and animal health factors when determining a risk score. If deemed necessary, accounting for human and animal health impacts would need to be accounted for in a more subjective manner. So, although F. kyushuense may pose a minimal risk to plant health, it may still be considered an important pest to monitor because of its human and animal health impacts.",,,"tobacco, rice, and corn",wheat,All states,"Yes -Produces toxins which cause vomiting, giddiness, and chills in humans.  Causes hypersensitivity pneumonitis (HP) in lab mice and there is an incident where it has been implicated with HP in humans.  Produces aflatoxins B1 and G1 which is abnormal for Fusarium spp.  Also produces nivalenol (NIV), T-2 toxin, and diacetoxyscirpenol (DAS).  Other Fusarium species can cause toxic aleukia which is toxic and causes mortality in humans.  Causes toxicosis in animals when ingested and causes mortality.",8/6/2015
,J,Haplaxius crudus,American palm cixiid,Arthropod,Undetermined,"Haplaxius crudus is present in multiple states and territories in the United States, and is non-reportable at U.S. ports-of-entry.",,,"grasses, palms",,"Already present in at least Florida, Texas, Puerto Rico",No,11/26/2019
,J,Hyalesthes obsoletus,Planthopper,Arthropod,Undetermined,"Because it hasn’t been introduced outside its native range, an OPEP assessment is not appropriate, and the predicted impact category is Undetermined.",,,Polyphagous feeder,,N/A,No,4/1/2020
,J,Lecanicillium aphanocladii,,Pathogen,Undetermined,Present in the US,,,,,,No,2/16/2024
,J,Lymantria albescens,Okinawa gypsy moth,Arthropod,Undetermined,"Because it hasn’t been introduced outside its native range, an OPEP assessment is not appropriate, and the predicted impact category is Undetermined.",,,trees,,N/A,contact dermatitis in humans,12/6/2019
,J,Lymantria postalba,White-winged gypsy moth,Arthropod,Undetermined,"Because it hasn’t been introduced outside its native range, an OPEP assessment is not appropriate, and the predicted impact category is Undetermined.",,,Taiwan fan palm,,N/A,No,12/6/2019
,J,Lymantria umbrosa,Hokkaido gypsy moth,Arthropod,Undetermined,"Because it hasn’t been introduced outside its native range, an OPEP assessment is not appropriate, and the predicted impact category is Undetermined.",,,"Japanese larch, white birch",,N/A,No,12/6/2019
,J,Meloidogyne inornata,None,Pathogen,Undetermined,"Without evidence of introduction to new areas, this pest is categorized as J.",,,tobacco ,"polyphagous: soybean, common bean, coffee, pepper, yacon, tomato, watermelon","All states based on all hosts, but if based on tobacco, then mostly the east, grown in Alabama, Connecticut, Florida, Georgia, Kansas, Kentuky, Maine, Maryland, Massachusetts, Missouri, North Carolina, Ohio, Pennsylvania, South Carolina, Virginia, West Virginia, Wisconsin",No,9/5/2015
,J,Mononychellus tanajoa,,Arthropod,Undetermined,Controversial taxonomy.,,,,,,No,5/8/2024
